,Date_Time,Location,Model,Label,Actual,Predict,Score
97,2023-03-28 06:00:00,CAP,SVM,Min_PM10_EWMA,56.0,38.36,8.35
98,2023-03-28 18:00:00,CAP,SVM,Min_PM10_EWMA,37.0,30.29,8.35
99,2023-03-29 06:00:00,CAP,SVM,Min_PM10_EWMA,40.0,43.1,8.35
100,2023-03-29 18:00:00,CAP,SVM,Min_PM10_EWMA,33.0,29.34,8.35
101,2023-03-30 06:00:00,CAP,SVM,Min_PM10_EWMA,34.0,32.94,8.35
102,2023-03-30 18:00:00,CAP,SVM,Min_PM10_EWMA,57.0,31.56,8.35
103,2023-03-31 06:00:00,CAP,SVM,Min_PM10_EWMA,37.0,40.9,8.35
104,2023-03-31 18:00:00,CAP,SVM,Min_PM10_EWMA,35.0,49.03,8.35
105,2023-04-01 06:00:00,CAP,SVM,Min_PM10_EWMA,43.0,35.39,8.35
106,2023-04-01 18:00:00,CAP,SVM,Min_PM10_EWMA,38.0,23.7,8.35
107,2023-04-02 06:00:00,CAP,SVM,Min_PM10_EWMA,23.0,37.6,8.35
108,2023-04-02 18:00:00,CAP,SVM,Min_PM10_EWMA,40.0,37.05,8.35
109,2023-04-03 06:00:00,CAP,SVM,Min_PM10_EWMA,29.0,31.64,8.35
110,2023-04-03 18:00:00,CAP,SVM,Min_PM10_EWMA,38.0,37.03,8.35
111,2023-04-04 06:00:00,CAP,SVM,Min_PM10_EWMA,54.0,26.87,8.35
112,2023-04-04 18:00:00,CAP,SVM,Min_PM10_EWMA,61.0,32.69,8.35
113,2023-04-05 06:00:00,CAP,SVM,Min_PM10_EWMA,42.0,41.8,8.35
114,2023-04-05 18:00:00,CAP,SVM,Min_PM10_EWMA,43.0,39.65,8.35
115,2023-04-06 06:00:00,CAP,SVM,Min_PM10_EWMA,47.0,33.43,8.35
116,2023-04-06 18:00:00,CAP,SVM,Min_PM10_EWMA,13.0,25.32,8.35
117,2023-04-07 06:00:00,CAP,SVM,Min_PM10_EWMA,23.0,30.72,8.35
118,2023-04-07 18:00:00,CAP,SVM,Min_PM10_EWMA,22.0,17.56,8.35
119,2023-04-08 06:00:00,CAP,SVM,Min_PM10_EWMA,16.0,25.63,8.35
120,2023-04-08 18:00:00,CAP,SVM,Min_PM10_EWMA,20.0,24.07,8.35
121,2023-04-09 06:00:00,CAP,SVM,Min_PM10_EWMA,24.0,19.76,8.35
122,2023-04-09 18:00:00,CAP,SVM,Min_PM10_EWMA,18.0,18.8,8.35
123,2023-04-10 06:00:00,CAP,SVM,Min_PM10_EWMA,18.0,22.15,8.35
124,2023-04-10 18:00:00,CAP,SVM,Min_PM10_EWMA,10.0,16.54,8.35
125,2023-04-11 06:00:00,CAP,SVM,Min_PM10_EWMA,20.0,22.79,8.35
126,2023-03-11 06:00:00,CAP,OLS,Mean_PM10_EWMA,57.0,52.14,13.68
127,2023-03-11 18:00:00,CAP,OLS,Mean_PM10_EWMA,76.0,55.83,13.68
128,2023-03-12 06:00:00,CAP,OLS,Mean_PM10_EWMA,58.0,63.34,13.68
129,2023-03-12 18:00:00,CAP,OLS,Mean_PM10_EWMA,58.0,79.28,13.68
130,2023-03-13 06:00:00,CAP,OLS,Mean_PM10_EWMA,50.0,63.92,13.68
131,2023-03-13 18:00:00,CAP,OLS,Mean_PM10_EWMA,44.0,41.09,13.68
132,2023-03-14 06:00:00,CAP,OLS,Mean_PM10_EWMA,65.0,57.08,13.68
133,2023-03-14 18:00:00,CAP,OLS,Mean_PM10_EWMA,39.0,51.49,13.68
134,2023-03-15 06:00:00,CAP,OLS,Mean_PM10_EWMA,38.0,41.16,13.68
135,2023-03-15 18:00:00,CAP,OLS,Mean_PM10_EWMA,32.0,38.57,13.68
136,2023-03-16 06:00:00,CAP,OLS,Mean_PM10_EWMA,31.0,54.29,13.68
137,2023-03-16 18:00:00,CAP,OLS,Mean_PM10_EWMA,36.0,45.57,13.68
138,2023-03-17 06:00:00,CAP,OLS,Mean_PM10_EWMA,48.0,50.26,13.68
139,2023-03-17 18:00:00,CAP,OLS,Mean_PM10_EWMA,79.0,37.17,13.68
140,2023-03-18 06:00:00,CAP,OLS,Mean_PM10_EWMA,50.0,44.88,13.68
